movieId,imdbId,tmdbId,year
1,0114709,862,1995
2,0113497,8844,1995
3,0113228,15602,1995
4,0114885,31357,1995
5,0113041,11862,1995
6,0113277,949,1995
7,0114319,11860,1995
8,0112302,45325,1995
9,0114576,9091,1995
10,0113189,710,1995
11,0112346,9087,1995
12,0112896,12110,1995
13,0112453,21032,1995
14,0113987,10858,1995
15,0112760,1408,1995
16,0112641,524,1995
17,0114388,4584,1995
18,0113101,5,1995
19,0112281,9273,1995
20,0113845,11517,1995
21,0113161,8012,1995
22,0112722,1710,1995
23,0112401,9691,1995
24,0114168,12665,1995
25,0113627,451,1995
26,0114057,16420,1995
27,0114011,9263,1995
28,0114117,17015,0
29,0112682,902,1995
30,0115012,37557,1995
31,0112792,9909,1995
32,0114746,63,1995
34,0112431,9598,1995
36,0112818,687,1995
38,0113442,33689,1995
39,0112697,9603,1995
40,0112749,34615,1995
41,0114279,31174,1995
42,0112819,11443,1995
43,0114272,35196,1995
44,0113855,9312,1995
45,0114681,577,1995
46,0113347,11861,1995
47,0114369,807,1995
48,0114148,10530,1995
49,0114916,8391,1995
50,0114814,629,1995
52,0113819,11448,1995
53,0110299,49133,1994
54,0112499,26441,1995
55,0113158,97406,1995
57,0113321,9089,1995
58,0110877,11010,1994
60,0113419,11359,1995
61,0116260,17182,1996
62,0113862,2054,1995
63,0116126,10607,1996
64,0118002,19760,1996
65,0115683,9536,1996
66,0116839,11525,1996
68,0113149,4482,1995
69,0113118,10634,1995
70,0116367,755,1996
71,0113010,11859,1995
72,0113537,28387,1995
73,0113828,48750,1995
74,0115644,20927,1996
75,0115676,36929,1996
76,0114367,9102,1995
77,0113973,124626,1995
78,0112744,27526,1995
79,0116731,9623,1996
80,0112445,46785,1995
81,0114660,400,1995
82,0112379,880,1995
83,0114039,146599,1995
85,0112365,8447,1995
86,0118158,10534,1996
87,0116151,17414,1996
88,0115697,13997,1996
89,0113972,2086,1995
92,0117002,9095,1996
93,0114825,12158,1995
94,0115639,9283,1996
95,0115759,9208,1996
96,0113403,40154,1995
97,0113247,406,1995
99,0113283,63076,0
100,0115907,11062,1996
101,0115734,13685,1996
102,0117102,47475,1996
103,0118040,2045,1996
104,0116483,9614,1996
105,0112579,688,1995
106,0110251,11907,1994
107,0117110,10874,1996
108,0112646,89333,1995
110,0112573,197,1995
111,0075314,103,1976
112,0113326,33542,1995
113,0115645,43566,1996
116,0112373,51352,1995
117,0115033,16934,1995
118,0116606,10324,1996
119,0114536,78406,1995
121,0106473,32119,0
122,0103859,11066,1992
123,0109424,11104,1994
125,0116324,2074,1996
126,0110647,27793,1994
128,0110217,290157,1995
129,0114131,110972,1995
132,0113451,11863,1995
135,0116130,9101,1996
137,0113756,5757,1995
140,0118055,9302,1996
141,0115685,11000,1996
144,0112585,16388,1995
145,0112442,9737,1995
146,0112342,30765,1995
147,0112461,10474,1995
148,0112427,22279,1995
149,0109093,30157,1994
150,0112384,568,1995
151,0114287,11780,1995
